id,name,jersey,last_name,first_name,abbr_name,birth_date,weight,height,position,birth_place,high_school,college,college_conf,rookie_year,status,sr_id,experience,draft,preferred_name,name_suffix
00a4b082-e55a-4273-afa9-5b481d9d70ea,Ben Cleveland,66,Cleveland,Ben,B.Cleveland,1998-08-25,370.0,78,G,"Toccoa, GA, USA",Stephens County (GA),Georgia,Southeastern Conference,2021.0,ACT,sr:player:2198570,4,"{'year': 2021, 'round': 3, 'number': 94, 'team': {'id': 'ebd87119-b331-4469-9ea6-d51fe3ce2f1c', 'name': 'Ravens', 'market': 'Baltimore', 'alias': 'BAL', 'sr_id': 'sr:competitor:4413'}}",,
0618f387-9b72-4270-8b8f-dec4cccc9e4a,Mark Andrews,89,Andrews,Mark,M.Andrews,1995-09-06,247.0,77,TE,"Scottsdale, AZ, USA",Desert Mountain (AZ),Oklahoma,Big Twelve Conference,2018.0,ACT,sr:player:1219184,7,"{'year': 2018, 'round': 3, 'number': 86, 'team': {'id': 'ebd87119-b331-4469-9ea6-d51fe3ce2f1c', 'name': 'Ravens', 'market': 'Baltimore', 'alias': 'BAL', 'sr_id': 'sr:competitor:4413'}}",,
07247409-1cf8-4e67-a05b-15de83ca1bf9,Chris Board,49,Board,Chris,C.Board,1995-07-23,229.0,74,LB,"Orlando, FL, USA",Timber Creek (FL),North Dakota State,Missouri Valley Football Conference,2018.0,ACT,sr:player:1185622,7,,,
0ad845ff-44e8-4576-bc91-61b557e06f05,Kyle Van Noy,53,Van Noy,Kyle,K.Van Noy,1991-03-26,244.0,75,OLB,"Reno, NV, USA",Robert McQueen (NV),BYU,Independent,2014.0,ACT,sr:player:830405,11,"{'year': 2014, 'round': 2, 'number': 40, 'team': {'id': 'c5a59daa-53a7-4de0-851f-fb12be893e9e', 'name': 'Lions', 'market': 'Detroit', 'alias': 'DET', 'sr_id': 'sr:competitor:4419'}}",,
0eab2551-b4c5-431e-9f8d-eea6c398c6b6,Malaesala Aumavae-Laulu,71,Aumavae-Laulu,Malaesala,M.Aumavae-Laulu,1999-05-25,325.0,77,OL,"Hilo, HI, USA",Liberty High School (NV),Oregon,Pacific Twelve Conference,2023.0,ACT,sr:player:1695579,2,"{'year': 2023, 'round': 6, 'number': 199, 'team': {'id': 'ebd87119-b331-4469-9ea6-d51fe3ce2f1c', 'name': 'Ravens', 'market': 'Baltimore', 'alias': 'BAL', 'sr_id': 'sr:competitor:4413'}}",,
0fbbe897-2980-4c6e-b8a4-59b43f81f605,Damarion Williams,24,Williams,Damarion,D.Williams,1998-07-15,180.0,70,CB,"Miami, FL, USA",Community Christian (GA),Houston,American Athletic Conference,2022.0,ACT,sr:player:1700897,3,"{'year': 2022, 'round': 4, 'number': 141, 'team': {'id': 'ebd87119-b331-4469-9ea6-d51fe3ce2f1c', 'name': 'Ravens', 'market': 'Baltimore', 'alias': 'BAL', 'sr_id': 'sr:competitor:4413'}}",,
0fc82e70-06fb-11ef-884d-cbdb0bc0c89c,Emory Jones,10,Jones,Emory,E.Jones,2000-04-29,210.0,74,QB,"LaGrange, GA, USA",Heard County (GA),Cincinnati,Big Twelve Conference,2024.0,ACT,sr:player:1413425,0,,,
124e7770-09a9-11ef-bd0a-3d6f9d2c0028,Mike Rigerman,35,Rigerman,Mike,M.Rigerman,2001-06-29,244.0,74,TE,"Arcade, NY, USA",Pioneer (NY),Findlay,Great Midwest Athletic Conference,,ACT,sr:player:2802085,0,,,
16341d80-f01f-11ed-97df-a94b89ac5704,Keaton Mitchell,34,Mitchell,Keaton,K.Mitchell,2002-01-17,191.0,68,RB,"McDonough, GA, USA",Eagle's Landing Christian Academy (GA),East Carolina,American Athletic Conference,2023.0,ACT,sr:player:1994355,2,,,
1ad3e535-2b5c-48a8-82f0-c7a933d250f0,Josh Tupou,69,Tupou,Josh,J.Tupou,1994-05-02,350.0,75,DT,"Long Beach, CA, USA",Buena Park (CA),Colorado,Pacific Twelve Conference,2017.0,ACT,sr:player:1132455,7,,,
1f02c2e7-da1f-4709-8bbc-82e6ffc6d400,T.J. Tampa,27,Tampa,T.J.,T.Tampa,2002-03-13,194.0,73,CB,"Norristown, PA, USA",Lakewood (FL),Iowa State,Big Twelve Conference,2024.0,ACT,sr:player:1997673,0,"{'year': 2024, 'round': 4, 'number': 130, 'team': {'id': 'ebd87119-b331-4469-9ea6-d51fe3ce2f1c', 'name': 'Ravens', 'market': 'Baltimore', 'alias': 'BAL', 'sr_id': 'sr:competitor:4413'}}",,
20a0bad2-d530-4ff4-a2df-5c0a21a1f5db,Justin Tucker,9,Tucker,Justin,J.Tucker,1989-11-21,188.0,73,K,"Houston, TX, USA",Westlake (TX),Texas,Big Twelve Conference,2012.0,ACT,sr:player:829127,13,,,
232b1ab6-7a50-48a3-b213-681e782d6daa,Odafe Oweh,99,Oweh,Odafe,O.Oweh,1998-12-15,257.0,77,OLB,"Hackensack, NJ, USA",Blair Academy (NJ),Penn State,Big Ten Conference,2021.0,ACT,sr:player:2197912,4,"{'year': 2021, 'round': 1, 'number': 31, 'team': {'id': 'ebd87119-b331-4469-9ea6-d51fe3ce2f1c', 'name': 'Ravens', 'market': 'Baltimore', 'alias': 'BAL', 'sr_id': 'sr:competitor:4413'}}",,
29269863-13cf-4c66-ac3c-5d9a47e2040a,Tylan Wallace,16,Wallace,Tylan,T.Wallace,1999-05-13,198.0,71,WR,"Fort Worth, TX, USA",South Hills (TX),Oklahoma State,Big Twelve Conference,2021.0,ACT,sr:player:2198064,4,"{'year': 2021, 'round': 4, 'number': 131, 'team': {'id': 'ebd87119-b331-4469-9ea6-d51fe3ce2f1c', 'name': 'Ravens', 'market': 'Baltimore', 'alias': 'BAL', 'sr_id': 'sr:competitor:4413'}}",,
2ae47840-f01c-11ed-beb1-27fdf5239b61,Tashawn Manning,62,Manning,Tashawn,T.Manning,1998-05-23,340.0,75,G,"Apopka, FL, USA",Wekiva (FL),Kentucky,Southeastern Conference,2023.0,ACT,sr:player:1232372,1,,,
2b6d74b7-10fb-4f17-99c8-9bb557fb475b,Zay Flowers,4,Flowers,Zay,Z.Flowers,2000-09-11,182.0,69,WR,"Fort Lauderdale, FL, USA",NSU University School (FL),Boston College,Atlantic Coast Conference,2023.0,ACT,sr:player:1688007,2,"{'year': 2023, 'round': 1, 'number': 22, 'team': {'id': 'ebd87119-b331-4469-9ea6-d51fe3ce2f1c', 'name': 'Ravens', 'market': 'Baltimore', 'alias': 'BAL', 'sr_id': 'sr:competitor:4413'}}",,
2bf2f410-e6f2-11ed-abca-c7a3a205e21d,Malik Cunningham,12,Cunningham,Malik,M.Cunningham,1998-10-06,198.0,73,WR,"Montgomery, AL, USA",Park Crossing (AL),Louisville,Atlantic Coast Conference,2023.0,ACT,sr:player:1269840,2,,,
2d4593e4-b908-4b29-a88a-835d2566781f,Tavius Robinson,95,Robinson,Tavius,T.Robinson,1999-01-03,258.0,78,OLB,"Guelph, ON, CAN",Guelph Collegiate Vocational Institute (CAN),Ole Miss,Southeastern Conference,2023.0,ACT,sr:player:2065771,2,"{'year': 2023, 'round': 4, 'number': 124, 'team': {'id': 'ebd87119-b331-4469-9ea6-d51fe3ce2f1c', 'name': 'Ravens', 'market': 'Baltimore', 'alias': 'BAL', 'sr_id': 'sr:competitor:4413'}}",,
32575119-3aca-47cb-aaaf-162c48b7d372,Malik Harrison,40,Harrison,Malik,M.Harrison,1998-03-05,259.0,75,LB,"Columbus, OH, USA",Walnut Ridge (OH),Ohio State,Big Ten Conference,2020.0,ACT,sr:player:2040123,5,"{'year': 2020, 'round': 3, 'number': 98, 'team': {'id': 'ebd87119-b331-4469-9ea6-d51fe3ce2f1c', 'name': 'Ravens', 'market': 'Baltimore', 'alias': 'BAL', 'sr_id': 'sr:competitor:4413'}}",,
3291c582-9377-4bc2-8ee5-61d887873797,Roquan Smith,0,Smith,Roquan,R.Smith,1997-04-08,236.0,73,LB,"Montezuma, GA, USA",Macon County (GA),Georgia,Southeastern Conference,2018.0,ACT,sr:player:1179842,7,"{'year': 2018, 'round': 1, 'number': 8, 'team': {'id': '7b112545-38e6-483c-a55c-96cf6ee49cb8', 'name': 'Bears', 'market': 'Chicago', 'alias': 'CHI', 'sr_id': 'sr:competitor:4391'}}",,
32ad0298-bbc6-4b66-bd4d-e87a169ad27a,Nick Moore,46,Moore,Nick,N.Moore,1992-12-09,260.0,74,LS,"Snellville, GA, USA",Brookwood (GA),Georgia,Southeastern Conference,2019.0,ACT,sr:player:1181260,3,,,
32b14870-0bda-11ef-8123-9355de3d3cbc,Colton Spangler,,Spangler,Colton,C.Spangler,,192.0,72,P,"Pasadena, MD, USA",Chesapeake (MD),Maryland,Big Ten Conference,2024.0,ACT,sr:player:1853320,0,,,
3c048ac9-2c0f-4bf0-9ddc-ce99c9387ac8,Charlie Kolar,88,Kolar,Charlie,C.Kolar,1999-02-10,257.0,78,TE,"Norman, OK, USA",Norman North (OK),Iowa State,Big Twelve Conference,2022.0,ACT,sr:player:1234036,3,"{'year': 2022, 'round': 4, 'number': 128, 'team': {'id': 'ebd87119-b331-4469-9ea6-d51fe3ce2f1c', 'name': 'Ravens', 'market': 'Baltimore', 'alias': 'BAL', 'sr_id': 'sr:competitor:4413'}}",,
3ef47770-09a4-11ef-a906-496bfb9579df,Bump Cooper Jr.,31,Cooper,Bump,B.Cooper,2001-08-31,186.0,71,CB,"San Jose, CA, USA",Wilcox (CA),Oregon State,Pacific Twelve Conference,2024.0,ACT,sr:player:2802163,0,,Bump,Jr.
44221550-0705-11ef-8e98-3161cfc99a7e,Yvandy Rigby,57,Rigby,Yvandy,Y.Rigby,1999-12-31,239.0,73,LB,"Egg Harbor Township, NJ, USA",Santa Margarita (CA),Temple,American Athletic Conference,2024.0,ACT,sr:player:1699513,0,,,
476d6de7-0d10-4f9c-96c9-2bd289052dce,Josh Jones,74,Jones,Josh,J.Jones,1997-06-22,319.0,77,OL,"Richmond, TX, USA",George Bush (TX),Houston,American Athletic Conference,2020.0,ACT,sr:player:2040295,5,"{'year': 2020, 'round': 3, 'number': 72, 'team': {'id': 'de760528-1dc0-416a-a978-b510d20692ff', 'name': 'Cardinals', 'market': 'Arizona', 'alias': 'ARI', 'sr_id': 'sr:competitor:4412'}}",,
48b4b770-06f2-11ef-b629-8d4815317755,Beau Brade,6,Brade,Beau,B.Brade,2002-01-29,203.0,72,SAF,"Clarksville, MD, USA",River Hill (MD),Maryland,Big Ten Conference,2024.0,ACT,sr:player:2000831,0,,,
4ad6410f-014f-4f7c-9e34-823b68906b21,Daniel Faalele,77,Faalele,Daniel,D.Faalele,1999-11-09,380.0,80,T,"Melbourne,, AUS",IMG Academy (FL),Minnesota,Big Ten Conference,2022.0,ACT,sr:player:1434797,3,"{'year': 2022, 'round': 4, 'number': 110, 'team': {'id': 'ebd87119-b331-4469-9ea6-d51fe3ce2f1c', 'name': 'Ravens', 'market': 'Baltimore', 'alias': 'BAL', 'sr_id': 'sr:competitor:4413'}}",,
4efa1860-c981-11ec-a1a0-57a82b503f37,Rayshad Nichols,91,Nichols,Rayshad,R.Nichols,1999-07-09,305.0,74,DT,"Bridge City, LA, USA",Higgins (LA),Stephen F. Austin,Western Athletic Conference,2022.0,ACT,sr:player:1208594,1,,,
50ef6d70-06f4-11ef-a4b5-edaa96061283,Darrian Dalcourt,76,Dalcourt,Darrian,D.Dalcourt,2000-09-17,309.0,75,G,"Havre de Grace, MD, USA",Saint Frances (MD),Alabama,Southeastern Conference,2024.0,ACT,sr:player:1692773,0,,,
528e71ec-8fb3-4928-ace5-fc5ffbf26eb3,Justice Hill,43,Hill,Justice,J.Hill,1997-11-14,197.0,70,RB,"Tulsa, OK, USA",Booker T. Washington (OK),Oklahoma State,Big Twelve Conference,2019.0,ACT,sr:player:1228458,6,"{'year': 2019, 'round': 4, 'number': 113, 'team': {'id': 'ebd87119-b331-4469-9ea6-d51fe3ce2f1c', 'name': 'Ravens', 'market': 'Baltimore', 'alias': 'BAL', 'sr_id': 'sr:competitor:4413'}}",,
53cbf000-f01f-11ed-97df-a94b89ac5704,Owen Wright,36,Wright,Owen,O.Wright,1999-02-28,217.0,69,RB,"Bethesda, MD, USA",Georgetown Prep (MD),Monmouth,Mid-Eastern Athletic Conference,2023.0,ACT,sr:player:1245732,1,,,
55cb1b50-09a6-11ef-a7ae-15e3d5a0bc27,Julian Pearl,60,Pearl,Julian,J.Pearl,1999-10-06,313.0,78,T,"Danville, IL, USA",Danville (IL),Illinois,Big Ten Conference,,ACT,sr:player:1436240,0,,,
59018c00-0c08-11ef-b868-8de1d998f84e,C.J. Ravenell,68,Ravenell,C.J.,C.Ravenell,2000-07-07,280.0,77,DE,"Santa Clarita, CA, USA",Golden Valley (CA),Missouri Western,Mid-America Intercollegiate Athletics Association,2024.0,ACT,sr:player:2802703,0,,,
